job_posting_date,job_position,company_name,job_location,job_id,job_link,description,company_profile,enhanced_period_contract,enhanced_location,enhanced_type,enhanced_hours_per_week,enhanced_languages,enhanced_tools,enhanced_tech_skill,enhanced_contact,natural_languages,programming_languages
2025-10-09,Junior Java Developer,Oracle,"Utrecht, Netherlands",4312717574,https://nl.linkedin.com/jobs/view/junior-java-developer-at-oracle-4312717574?position=2&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=sHOT9Tidyi5BcaI9CBoj5A%3D%3D,"What We're Looking ForA passionate and experienced software engineer, shaping and contributing to the future of Oracle Health Insurance. Committed to the quality of the code and to the success of our customers.What You’ll DoYou will work in a team together with other Java engineers, product managers and testers. Your responsibilities will include:Designing new technical solutions for new functionalityDiagnosing and fixing issues, identifying and addressing root causesStriving for continuous improvements to our software and our processesCollaborating with other team members across the globeYou're a great fit for this role if you share these values and principlesOpen-mind for discussion and team collaborationSharing knowledge whenever possibleTaking pride in your work and having a desire to delight the customerTaking initiative, taking responsibility, and taking ownership of your projectsA self-starter who can take a bit of directional input and then drive projects autonomouslyExcellent communicator in both technical and non-technical contextsSkills RequiredAt least 5 years experience in Java/J2EE server side software developmentExperience in several of these technologies: Oracle, SQL, JPA, Jenkins, Maven, Git, Coherence, Docker, Spring, JUnit, MockitoStrong drive for code quality and maintainabilityGreat analytical and problem-solving skillsFlexibility to work with geographically distributed teamsUnderstanding of cloud-based distributed software applicationsFluent in English and Dutch",https://www.linkedin.com/company/oracle?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,on-site,,"Java, SQL, English, Dutch","oracle, jpa, jenkins, maven, git, coherence, docker, spring, junit, mockito","Java/J2EE, Oracle, SQL, JPA, Jenkins, Maven, Git, Coherence, Docker, Spring, JUnit, Mockito, cloud-based distributed software applications",,"english, dutch","java, sql"
2025-10-03,Senior Java Developer,Spilberg,"Utrecht, Utrecht, Netherlands",4308803051,https://nl.linkedin.com/jobs/view/senior-java-developer-at-spilberg-4308803051?position=4&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=dLWBlyHQeI0SFmQ%2FxY81TA%3D%3D,"Vacature: Senior Java DeveloperBen jij een ervaren Java Developer die op zoek is naar een nieuwe uitdaging met uitstekende arbeidsvoorwaarden? Dan hebben wij dé rol voor jou!Wat ga je doen?Je ontwikkelt en onderhoudt complexe Java-applicaties.Je denkt actief mee over architectuur en technische verbeteringen.Je werkt in een multidisciplinair (Agile/Scrum) team samen met collega-developers, testers en analisten.Je draagt bij aan schaalbare, veilige en toekomstbestendige softwareoplossingen.Wat breng je mee?Aantoonbare ervaring als Java Developer.Ervaring met frameworks als Spring Boot en Hibernate.Kennis van CI/CD, microservices, Docker, Kubernetes is een pré.Een passie voor clean code, samenwerking en continue verbetering.Wat bieden wij?Een uitstekend salaris van €150.000,- per jaar.Slechts 1 dag per week op kantoor, de rest hybride of remote.Maar liefst 35 vakantiedagen.Een 13e maand.Een Individueel Keuzebudget (IKB) van 10%.Ruime mogelijkheden voor persoonlijke ontwikkeling en doorgroei.Klaar om jouw carrière als Senior Java Developer naar een hoger niveau te tillen? Reageer nu en ontdek wat wij voor elkaar kunnen betekenen!",https://nl.linkedin.com/company/spilberg-development?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,hybrid,,Java,"spring boot, hibernate, ci/cd, docker, kubernetes","Agile, Scrum",,,java
2025-10-07,Java Developer,ENTER BV,"Veenendaal, Utrecht, Netherlands",4311524164,https://nl.linkedin.com/jobs/view/java-developer-at-enter-bv-4311524164?position=5&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=Ny%2FkD9tyAjKoY34NfuzuOQ%3D%3D,"Ben jij een Java Developer die houdt van complexe uitdagingen en het bouwen van moderne web-gebaseerde applicaties? Bij ENTER werk je aan innovatieve oplossingen die dagelijks door duizenden gebruikers worden toegepast. Wij zoeken iemand die de diepte in wil gaan en niet terugschrikt van complexe architecturen, integraties en performancevraagstukken.Wat ga je doen?Als Java Developer werk je aan innovatieve en toekomstbestendige webapplicaties die écht impact maken. Je ontwikkelt en onderhoudt moderne applicaties in Java en gebruikt daarbij cloud-native architecturen en microservices om schaalbare, veilige en robuuste oplossingen te bouwen. Je werkt nauw samen met UX-designers, DevOps-engineers en andere developers om samen tot het beste resultaat te komen. Daarnaast denk je actief mee over architectuurkeuzes en de technische strategie, waardoor jij een belangrijke rol speelt in het vormgeven van de softwareoplossingen van morgen.Wie ben jij?Je hebt een hbo- of wo-opleiding Informatica of vergelijkbaar afgerond.Je hebt minimaal 3 jaar ervaring als Java Developer.Je vindt het leuk om in complexe systemen te duiken en nieuwe technologieën te leren.Je werkt graag samen in een multidisciplinair team.Je spreekt en schrijft vloeiend Nederlands en Engels.Gewenste technische ervaringWij zoeken geen “lijstjesvuller”, maar iemand met een brede achtergrond en passie voor techniek. Ervaring met (een deel van) onderstaande is gewenst:Programmeertalen & Frameworks:Java (11+), Spring / Spring BootHibernate / JPARESTful APIs, GraphQLWeb & Frontend:Kennis van HTML5, CSS3, JavaScript/TypeScript is een préErvaring met moderne frontend frameworks (Angular, React of Vue) is een plusCloud & DevOps:Ervaring met Docker, KubernetesCloud platforms (AWS, Azure of GCP)CI/CD (Jenkins, GitLab CI, GitHub Actions)Databases & Messaging:Relationele databases (PostgreSQL, MySQL, Oracle)NoSQL (MongoDB, Cassandra, Redis)Messaging systemen (Kafka, RabbitMQ)Overig:Kennis van security & authentication (OAuth2, JWT, OpenID Connect)Testing frameworks (JUnit, Mockito, Cucumber)Ervaring met Agile / ScrumWie zijn wij? ENTER is een technische detacheringsorganisatie die gespecialiseerd is in het verbinden van softwareprofessionals met uitdagende projecten bij toonaangevende organisaties in Nederland. Waar onze roots liggen in high-tech R&D en technische software, werken we steeds vaker aan grootschalige web- en cloudprojecten die een directe impact hebben op duizenden gebruikers. Denk aan moderne platformen, schaalbare webapplicaties en integraties met complexe architecturen.Bij ENTER waarderen we vakmanschap en hechten we veel waarde aan de kwaliteit en onderhoudbaarheid van software. Voor ons betekent 'Tech with a heartbeat' dat we technologie met passie en toewijding benaderen, of dat nu in een high-tech of in een cloud-native omgeving is.Onze professionals werken in vaste dienst en maken op projectbasis deel uit van de ontwikkelteams van onze klanten, meestal voor een periode van 1 tot 3 jaar. We matchen projecten zorgvuldig op basis van ervaring, ambities, persoonlijkheid en passie voor technologie. Tijdens het project word je begeleid door je manager vanuit ENTER, die je ondersteunt in je professionele groei met coaching en trainingen. Daarnaast bouwen we actief aan onze community. We organiseren regelmatig technisch inhoudelijke en sociale bijeenkomsten om kennisdeling en verbinding tussen collega’s te stimuleren. Bij ENTER combineren we technische expertise met een hechte cultuur. Sluit je aan bij ons team en werk mee aan innovatieve web-oplossingen bij aansprekende klanten!#techwithaheartbeatWat kan je als ENTER-collega allemaal van ons verwachten?Een uitdagende rol in een moderne ontwikkelomgeving;Ruimte voor persoonlijke ontwikkeling en certificeringen;Hybride werken met flexibele werktijden;Regelmatige sociale activiteiten, zoals de jaarlijkse BBQ, het kerstdiner, een pubquiz en onze volledig verzorgde familiedag in de Efteling.En nog veel meer!Wil je meer weten? Ben je nieuwsgierig geworden of heb je nog een paar vragen over de functie van Java engineer?Neem dan contact op met Willem van Riet, E: willem.vanriet@enter-group.nlBen je enthousiast en wil je direct solliciteren? Klik dan op de solliciteerknop en laat je profiel achter. We nemen zo snel mogelijk contact met je op.Door een profiel aan te maken en te solliciteren, ga je akkoord met onze privacyverklaring.",https://nl.linkedin.com/company/enter-bv?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,hybrid,,"Dutch, English","java, spring, spring boot, hibernate, jpa, restful apis, graphql, html5, css3, javascript, typescript, angular, react, vue, docker, kubernetes, aws, azure, google cloud, jenkins, gitlab ci, github actions, postgresql, mysql, oracle, mongodb, cassandra, redis, kafka, rabbitmq, oauth2, jwt, openid connect, junit, mockito, cucumber, agile, scrum",Java Developer,,"dutch, english",
2025-09-30,Full Stack Engineer,Salento,"Utrecht, Netherlands",4308423354,https://nl.linkedin.com/jobs/view/full-stack-engineer-at-salento-4308423354?position=6&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=GnEIJ5p6%2Fx6G6oZ%2F2Pb82w%3D%3D,"Full Stack Engineer – AI-Driven SaaS Product – up to EUR 80K – Utrecht / HybridMy client is a start-up that will soon start building a AI-driven SaaS product. The product provides knowledge workers a high degree of automation consequently these teams have much more time for human interaction. This leads to much more value creation within the organizations. Many repetitive and manual actions are automated by this AI-driven SaaS product. But this is only the beginning of the many valuable features that will be built. A more groundbreaking example is the ability to filter conflicting statements in huge amounts of documents.The enormous attention for AI (ChatGPT) has paid off for my client. Of course, my client also integrates the possibilities of ChatGPT into their products. But my client was already working on their vision before the AI hype (blue print was drawn back in 2018). This resulted in a very successful scale-up, and this new start-up is a spin off.As a Full Stack Engineer, you will get the chance to work on this new to build AI SaaS product from scratch. The initial team will further consist of a Data Scientist, Backend Developer, Product Owner & CEO.You bring:An enthusiastic personality, you are good with people and like to help! And you thrive well in a transparent and honest company culture;An above-average interest in software architecture & scalability;Interest in absorbing AI & ML knowledge;Demonstrable seniority with JavaScript, React, TypeScript;Demonstrable seniority with Python and FastAPI;Knowledge and experience with more tooling that you like to contribute and introduce to my client.Some of the benefits that my client has to offer:Working with very ambitious and driven people in a great start-up environment;Many growth opportunities: with rapid growth, new functions appear. Deliver, show energy and challenge assumptions, and you will quickly get new challenges and responsibilities;Steep learning curve: you can experience a challenging and educational career, faster than you thought possible;Work from home when you want, but there is a policy of working 2 days in the office, so that the team can learn together and collaborate on challenging projects;Gross annual salary up to 80k and secondary package, including unlimited days off.Interested!? Contact me via stephan@salentorecruitment.com",https://www.linkedin.com/company/salento-bv?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,hybrid,Full-time,"JavaScript, React, TypeScript, Python, FastAPI",not specified,"AI, ML",,,"javascript, typescript, python"
2025-10-03,Java developer (NL)- Tot 130k salaris - Vast contract - Onbeperkt opleidingsbudget,Spilberg,"Amsterdam, North Holland, Netherlands",4308593323,https://nl.linkedin.com/jobs/view/java-developer-nl-tot-130k-salaris-vast-contract-onbeperkt-opleidingsbudget-at-spilberg-4308593323?position=7&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=cd32G7lvpCyEZfhew6SU0g%3D%3D,"Senior Java Developer | Vast contract | Tot €130K incl.Ben jij een ervaren Java Developer (5+ jaar) en toe aan een plek waar je niet zomaar een nummer bent, maar écht impact maakt? Sluit je aan bij een middelgrote organisatie waar professionaliteit en persoonlijke aandacht hand in hand gaan.Waarom dit jouw nieuwe uitdaging isVast contract met een jaarsalaris tot €130.000 incl.Hybride werken: vrijheid om thuis of op locatie te werkenOnbeperkt opleidingsbudget - jouw groei staat centraalRegelmatig samen met collega's naar conferenties, kennisdelingssessies en toffe incentivesWerken in een middelgroot bedrijf → persoonlijke sfeer, korte lijnen en écht gehoord wordenJouw impactAls Senior Java Developer werk je aan uitdagende en maatschappelijk relevante projecten bij toporganisaties. Denk aan Schiphol, KLM, overheid, Adyen, Alliander, grootbanken, NPO en de energietransitie.Met jouw ervaring in Java (Spring Boot, Microservices, CI/CD, Cloud) bouw je mee aan oplossingen die Nederland vooruithelpen. Daarbij krijg je de ruimte om je ideeën te delen en collega's te inspireren.Wat je krijgt✔ Vast contract, zekerheid én flexibiliteit ✔ Tot €130K incl. per jaar (afhankelijk van ervaring) ✔ Onbeperkt budget om jezelf te ontwikkelen ✔ Een middelgrote organisatie → persoonlijke aandacht, korte lijnen en geen log bureaucratisch gedoe ✔ Collega's die net zo ambitieus zijn als jij ✔ Leuke incentives, uitjes en gezamenlijke conferentiesWat jij meebrengtMinimaal 5 jaar ervaring als Java DeveloperErvaring met Java 8/11/17, Spring Boot, Microservices, CI/CD, CloudCommunicatief sterk en een passie voor kennisdelenJe wilt werken in een omgeving waar je echt invloed hebt Desired Skills and ExperienceJava springboot Frontend cloud",https://nl.linkedin.com/company/spilberg-development?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsterdam,hybrid,n/a,Java,"spring boot, microservices, ci/cd, cloud","Java 8/11/17, Spring Boot, Microservices, CI/CD, Cloud",,,java
2025-10-10,Java Developer,Sqills,"Enschede, Overijssel, Netherlands",4312929480,https://nl.linkedin.com/jobs/view/java-developer-at-sqills-4312929480?position=8&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=WQSZ7ygcuFYNYHJD6xcz%2Fg%3D%3D,"As an experienced Java Developer, you have a wide range of opportunities. Unlike typical backend roles that focus solely on writing code, this position centers on building and maintaining high-performance microservices that are mission-critical for international travel brands.You’ll work closely with DevOps, engineering teams, and other Java developers to ensure our services are robust, scalable, and maintainable. Your work will directly impact the traveler experience, enabling customers to find the best travel offers efficiently and reliably.What Will You DoDevelop and maintain high-performance Java microservices.Process asynchronous requests and optimize data flows for high-availability components.Contribute to CI/CD pipelines, infrastructure tooling, and DevOps support systems.Continuously refactor existing code to improve quality, performance, and reliability.Collaborate with teammates to ensure services are secure, resilient, and future-proof.We Are Looking For Someone WithBachelor’s degree (HBO or WO) in Computer Science, Software Engineering, or related field — or equivalent professional experience.Strong proficiency in Java and backend development in high-performance environments.Understanding of functional programming and immutable data structures.Familiarity with CI/CD, Kubernetes, Terraform, and AWS services (Lambda, RDS, DynamoDB, etc.).Strong communication skills in English and/or Dutch.Proactive, curious, and eager to explore new technologiesAnd who is willing to work from either our office in Amersfoort or Enschede.Nice To HaveExperience with Kotlin or Go.Knowledge of distributed systems, microservices architecture, and performance optimization.Familiarity with monitoring tools such as OpenTelemetry, New Relic, or PagerDuty.Open-source contributions or experience with widely used Java libraries.What can you expect from Sqills?An enthusiastic, young, diverse group of ~240 colleagues worldwide;A low sense of hierarchy, this comes with a lot of responsibility!An open yet challenging environment of ambitious young professionals with different backgrounds;Inspiring and fun outings with the entire company with colleagues from North America, Turkey, France and the Netherlands.Curious?We can only consider applications from Dutch, EU/EEA or Swiss citizens, or from individuals who already hold a valid residence and work permit for the Netherlands.",https://nl.linkedin.com/company/sqills?trk=public_jobs_jserp-result_job-search-card-subtitle,,amersfoort or enschede,hybrid,,"English, Dutch","ci/cd, kubernetes, terraform, aws services lambda, rds, dynamodb","Java, backend development, functional programming, immutable data structures",,"english, dutch",
2025-09-30,Java Software Developer,transferz,"Amsterdam, North Holland, Netherlands",4308176488,https://nl.linkedin.com/jobs/view/java-software-developer-at-transferz-4308176488?position=9&pageNum=0&refId=FBHptkaJOGzA7h8dMqGPrQ%3D%3D&trackingId=q6msXxcS0vKr3CYmKOunQA%3D%3D,"About Transferz & The RoleAt Transferz, we cater to the diverse needs of thousands of travelers, both corporate and leisure. Transferz's mission is to provide true peace of mind to all parties involved in ground transportation: travelers, travel brands, and our transfer companies. With coverage in 150+ countries, 800+ airports and more than 1.500 transfer companies in the network, Transferz is truly global. Travelers can complete their travel plans with door-to-door transfers by selecting the transfer they want, based on vehicle type and price, and enjoy peace of mind on the first and last mile of their journeys. We have the ambition to become the market leader in ground transportation worldwide. Our team has grown significantly over the past year, and we're keen to establish the management layer allowing us to continue our high-growth trajectory.We believe it’s the people that make the business and we are looking for like-minded individuals to join us in creating an open, transparent, motivating, inspiring and fun working environment. We have a typical scale-up culture, growing fast, hard-working and have huge ambitions.What We’re Looking ForAs an engineer in the our team, you’ll design, develop, and maintain high-performance Java applications as part of Transferz' microservice platform. You'll work in a with cross-functional teams to deliver innovative solutions in close collaboration with product managers and designers to ensure that our applications meet and exceed our customers' needs. Your work is an example to peers and you will participate in code reviews to ensure that code meets our high standards for quality and ensure they will remain up-to-date with the latest trends and technologies in Java development. Besides our API's, our digital product portfolio ranges from traveller and driver apps to back office portals used by transfer companies, reselling partners, and our internal teams.We work in a (relatively) small team with sky-high aspirations. As such, your efforts have a tangible, visible impact on the success of our company. You will report to the Head of Engineering. This is a full-time position with the possibility of working part time (minimum 32 hours). As we greatly value collaboration with peers, you will work primarily from our easily accessible Amsterdam office. As such, we are only accepting applications from candidates currently living in The Netherlands and have a valid working permit.We believe it’s the people that make the business and we are looking for like-minded individuals to join us in creating an open, transparent, motivating, inspiring and fun working environment.We are a tech company in hearts and minds, but understand that technology is just a means to serve our partners and travellers. Passion, teamwork, and informal communication are the basis to create a successful experience that allows every traveller to enjoy peace of mind. With true global coverage, Transferz is a multilingual and multinational company and believes in fostering diversity.Our platformThe Transferz microservice platform consists of 25+ independent microservices built on Spring Boot (3.2+). We utilize GitHub for version control and have completely set up our CI/CI pipeline using GitHub Actions. Our strict quality control gateways enforced during pull requests (peer review, code styling, static code analysis, unit & integration test coverage) ensure our applications stay healthy - all services have >90% code coverage on automated tests. Our frontends are built on React and interact with the microservice platform through GraphQL (NodeJS).Note for recruiters: acquisition based on this job posting is not appreciatedWe believe you’re suited for the role when you:have at least 5 years experience in a Java development;are friendly, communicative and like interacting with stakeholders in- and outside the company;thrive in an informal office working atmosphere with driven and ambitious peers;have worked extensively with Spring Boot (2+) and the Spring Framework to design & build scalable, high-performance applications;have thorough knowledge of JPA2 and ORM implementations such as Hibernate, as well as plain SQL, experience with Flyway or Liquibase is a plus;have a firm grasp on Docker, experience with Kubernetes is a plus;have set up and maintained CI/CD pipelines, experience with GitHub Actions is a plushave experience with cloud-based deployments (GCP, AWS or Azure)have a solid understanding of software design principles and patterns;have extensive knowledge on designing (RESTful) API’s;have experience with application monitoring and performance optimization, experience with DataDog is a plus.We can offer you:a full-time position with the possibility of working part-time (minimum 32 hours)a market-competitive salary with secondary benefits (such as our bicycle leasing scheme)€50 per month wellness allowance to choose your own benefit on Alleoa truly diverse and international work environment where you can be yourself and grow your skills through feedbackall the tools you’ll need to excel; both hardware and softwareflexible working hours, office-based (limited possibilities for remote working)",https://nl.linkedin.com/company/transferz?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsterdam,on-site,full-time with possibility of part-time,"Java, SQL","spring boot, spring framework, jpa2, hibernate, flyway, liquibase, docker, kubernetes, github actions, datadog","RESTful API design, application monitoring, performance optimization",,,"java, sql"
2025-10-15,Java Developer,Picnic Technologies,"Amsterdam, North Holland, Netherlands",3888563282,https://nl.linkedin.com/jobs/view/java-developer-at-picnic-technologies-3888563282?position=1&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=hzq7T9V5tRwrqtMLMKlqSQ%3D%3D,"In a nutshellPicnic has over 20 Java backend development teams, each highly involved with and essential to all parts of the company. From enabling a smooth shopping experience, to ensuring we fulfill our customers’ orders efficiently in our warehouses: there’s a wide range of products to work on. Product teams are also supported by the work of our platform teams on key technologies and infrastructure. At Picnic your skills will be complemented with the latest tech and our diverse projects will keep you challenged and motivated. From designing, developing, and testing new user-facing features, to optimizing supply chain systems and improving the scalability and security of our platform: you’ll be managing individual project priorities, deadlines, and deliverables, while finding yourself fully immersed in an engaging startup culture.We don’t hide what we do. Instead, we open-source with the community that helped us grow. Here’s proof: http://picnic.techTricks of the tradeOwnership: Take ownership of projects, grow, and work collaboratively with your colleaguesContribution: Design, test, evolve, and evaluate the nuts and bolts of our operation while offering a creative and analytical approachMastery: You feel at home writing platforms and display an intricate understanding of how each line of code fits into a business planOur Tech: Java 21 (Spring 6 with Spring Boot 3, Reactor, Immutables, Maven), RabbitMQ, Kafka, PostgreSQL, MongoDB, Git, Docker, AWS, Helm, Terraform, Kubernetes, Vault, Datadog, Python 3.x, TypescriptWe’re looking forYou have a Bachelor’s or Master’s Degree in Computer Science, Artificial Intelligence, Information Technology, Computer Engineering or a related technical field You have 1-5 years of professional experience in programming and software developmentYou have a profound understanding of back-end development, including Java, Spring MVC, MongoDB and PostgreSQLYour English skills are on point (no Dutch required)Picnic Perks✍🏼 Every expert was once a beginner! You’ll get plenty of opportunities to challenge yourself and grow, including the Picnic Tech Academy, Lunch & Learn sessions, and tailored soft skills training. We also offer free professional weekly language courses.💡 Make a differenceYou’ll work in an awesome startup environment with the freedom to drive your own projects and create a visible impact. Our fully electric vehicles and sustainable business model mean you’ll also be contributing to making the world a better place!🫱🏼‍🫲🏾 Teamwork makes the dream workWith more than 80 nationalities across 3 countries, you’ll be part of a diverse company with plenty of cool stuff to get involved with, from board game evenings to after-work drinks to our company ski trip and more!🍎 You Are What You EatYou’ll get freshly prepared, healthy lunches and snacks (with plenty of vegetarian, vegan, and halal options). Coffee snob? Don’t worry, our amazing Picnic barista has you covered.🚴🏽 Stay healthy Mental health is important. As well as having the option to speak with Picnic colleagues who act as confidential advisors, our collaboration with OpenUp gives you easy access to professional psychologists, along with workshops and materials.There are plenty of sports communities and events to get involved with, from tennis to yoga, to climbing!🔋 Attractive packageWe offer competitive compensation and a pension plan that looks out for your future self, as well as 25 vacation days per year, so you can recharge your batteries🌍 Benefits For ExpatsIt can be daunting starting a new job AND moving to a new country. That’s why we offer lots of support for our many expat colleagues, if you want to find our relocation benefits, see here.",https://nl.linkedin.com/company/picnictechnologies?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,on-site,,English,"java 21, spring 6 with spring boot 3, reactor, immutables, maven, rabbitmq, kafka, postgresql, mongodb, git, docker, aws, helm, terraform, kubernetes, vault, datadog, python 3.x, typescript","back-end development, Java, Spring MVC, MongoDB, PostgreSQL",,english,
2025-10-10,Java Developer,HybrIT,"Utrecht, Utrecht, Netherlands",4310290232,https://nl.linkedin.com/jobs/view/java-developer-at-hybrit-4310290232?position=2&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=co6F8VtJDbXot%2Fnyrv%2B%2FKQ%3D%3D,"For Dutch-speaking applicants onlyWij als HybrIT zijn een innovatief IT bedrijf waar we zorgen voor toffe uitdagingen voor jou in de consultancy. Als consultant zoeken we naar opdrachten bij leuke klanten die passen bij jouw expertise en wensen, van overheid tot commerciële organisaties en van opdrachten die inhoudelijk heel complex zijn tot opdrachten waar je veel impact kan hebben. Alles is mogelijk!De basis van ons bedrijf ligt in de development. Thomas en Stephan, onze oprichters, zijn beide developers van oorsprong en zijn daar nog steeds actief in. Zij denken dan ook graag met je mee. Vanuit hun eigen ervaring als developer hebben zij HybrIT opgericht met de ambitie om jou als developer centraal te laten staan. Dat streven wij dan ook nog steeds na tot de dag van vandaag en zie je terug in jouw werkzaamheden, jouw ontwikkeling en ook de (sociale) activiteiten die we samen doen.Bij HybrIT hebben we onderlinge betrokkenheid hoog in het vaandel staan. Ondanks dat iedereen voor zijn eigen klant werkt en we elkaar niet elke dag zien, zorgen we er toch voor dat we elkaar altijd weten te vinden. Zo organiseren we elke maand diverse leuke events zoals karten, LAN-party en padel. Daarnaast faciliteren we ook kennisdeling door het organiseren van innovatiedagen en interne kennissessies.Lijkt het jou leuk om te werken bij een bedrijf waar jij centraal staat, jij uitdagende projecten kan doen en waar de onderlinge betrokkenheid hoog is?Solliciteer dan vooral!TakenEen greep uit jouw takenOntwerpen, ontwikkelen en implementeren van Java-toepassingenSamenwerken met cross-functionele teams om technische specificaties te begrijpen en te vertalen naar functionele codesIdentificeren en oplossen van technische problemen en bugsActief deelnemen aan code-reviews en het delen van best practices met het teamBlijven leren en op de hoogte blijven van de nieuwste ontwikkelingen in Java technologieënVereistenWat je meebrengtWij zijn op zoek naar iemand die kennis heeft van moderne softwareontwikkeling en aantoonbare ervaring met Java-ontwikkeling. Het is daarnaast belangrijk dat je over uitstekende probleemoplossende en communicatieve vaardigheden beschikt.Wat we belangrijk vinden wat je in huis hebt:Minimaal 4 jaar werkervaring met JavaErvaring met CI/CDErvaring met TestingErvaring met DatabasesErvaring met API’sDe Nederlandse taal (in spreken en schrijven) heb je onder de knie Het ideale plaatje:Ervaring met DockerErvaring met KubernetesErvaring met Node.jsErvaring met JenkinsErvaring met Google/Azure/ AWSBenefitsWat wij jou te bieden hebbenSalaris – we belonen jou uiteraard voor jou werk met een salaris tussen de €3.500 - €6.000 per maandVakantiedagen – jij bepaalt zelf de hoeveelheid vakantiedagen. Je hebt er minimaal 20Code Creators Package – maandelijks bouw je 13,07% van jouw salaris extra op bovenop je salaris. Jij kan dit vrij kan besteden aan bijvoorbeeld extra vakantiedagen of salarisVrije keuze werken op feestdagen – bepaal zelf of je vrij bent met feestdagen of dat je gaat werkenFlexibel werken – bepaal zelf waar en wanneer je werkt (uiteraard in overleg met ons en de klant)Mobiliteit – kies uit een leaseauto, OV vrij abonnement of mobiliteitsbudgetLaptop en telefoon – kies zelf jouw laptop of telefoonPensioen – je bouwt pensioen op bij STIPP waarbij HybrIT 2/3 van je pensioen inlegt en jij 1/3.Ontwikkeling – elke vorm van ontwikkeling of opleiding is mogelijk zonder terugbetaalregeling",https://nl.linkedin.com/company/hybrit-bv?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,nan,nan,nan,,nan,,,
2025-08-24,Full Stack Developer,BetterBe,"Enschede, Overijssel, Netherlands",4302538501,https://nl.linkedin.com/jobs/view/full-stack-developer-at-betterbe-4302538501?position=3&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=WjenA9moHqUluiJYqQ9psQ%3D%3D,"Hey there! BetterBe is on the lookout for a friendly and skilled Full Stack Developer to join our amazing team! We're passionate about revolutionizing the automotive leasing industry with our innovative API-based SaaS solutions, and we need someone like you to help us build and enhance these exciting products! As a Full Stack Developer, you'll have the fantastic opportunity to work on both the front-end and back-end of our applications, crafting user-friendly interfaces and ensuring optimal performance behind the scenes. If you enjoy collaborating with others, love to solve problems, and thrive in a dynamic environment, then we'd love for you to be part of our journey to empower multinational clients to think bigger and act faster!Your Key ResponsibilitiesDesign and develop interactive, responsive front-end interfaces using modern frameworks like ReactBuild and maintain robust server-side applications with a focus on scalability and performanceCollaborate with designers and product managers to ensure a seamless user experience across our platformsIntegrate and optimize RESTful APIs and third-party services for a frictionless user experienceParticipate in code reviews, provide constructive feedback, and contribute to team knowledge sharingStay updated with the latest industry trends and best practices to continually enhance our productsRequirementsBachelor's degree in Computer Science, Software Engineering, or a related fieldExperience with front-end technologies such as HTML, CSS, JavaScript, and frameworks like React, Vue.js, or AngularProficiency in Java and the Spring frameworkFamiliarity with database technologies like MySQL, MongoDB, or PostgreSQLUnderstanding of version control systems, especially GitStrong problem-solving skills with a positive attitude towards collaborationGood communication skills and a willingness to learn and adapt in a team settingBenefitsA one-year contract, with the possibility of a permanent position based on performanceA gross monthly salary that matches your education and experienceA performance- and profit-based bonusPlenty of opportunities for personal developmentA pleasant work atmosphere with social activities, such as weekly drinks, an annual BBQ with car rally, and a meet & lunch areaFlexible working hours and the option to work partly from home",https://nl.linkedin.com/company/better-be?trk=public_jobs_jserp-result_job-search-card-subtitle,,betterbe,hybrid,full-time,"HTML, CSS, JavaScript, Java","react, vue.js, angular, spring framework, mysql, mongodb, postgresql, git","front-end development, back-end development, RESTful APIs",,,"javascript, java"
